city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Melbourne,-37.8142,144.9631,Australia,AU,Victoria,admin,5031195,5031195
Sydney,-33.8678,151.2100,Australia,AU,New South Wales,admin,4840600,4840600
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2360241,2360241
Perth,-31.9559,115.8606,Australia,AU,Western Australia,admin,2141834,2141834
Adelaide,-34.9275,138.6000,Australia,AU,South Australia,admin,1295714,1295714
Gold Coast,-28.0167,153.4000,Australia,AU,Queensland,,607665,607665
Cranbourne,-38.0996,145.2834,Australia,AU,Victoria,,460491,460491
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,381488,381488
Central Coast,-33.3000,151.2000,Australia,AU,New South Wales,,346596,346596
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,261896,261896
Ipswich,-27.6144,152.7608,Australia,AU,Queensland,,232930,232930
Hobart,-42.8806,147.3250,Australia,AU,Tasmania,admin,197451,197451
Geelong,-38.1500,144.3500,Australia,AU,Victoria,,180239,180239
Townsville,-19.2500,146.8167,Australia,AU,Queensland,,173724,173724
Newcastle,-32.9167,151.7500,Australia,AU,New South Wales,,152984,152984
Cairns,-16.9200,145.7800,Australia,AU,Queensland,,146778,146778
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,139902,139902
Ballarat,-37.5608,143.8475,Australia,AU,Victoria,,116201,116201
Toowoomba,-27.5667,151.9500,Australia,AU,Queensland,,108398,108398
Bendigo,-36.7500,144.2667,Australia,AU,Victoria,,103034,103034
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,90306,90306
Launceston,-41.4419,147.1450,Australia,AU,Tasmania,,80943,80943
Mackay,-21.1411,149.1858,Australia,AU,Queensland,,72900,72900
Hervey Bay,-25.2900,152.8400,Australia,AU,Queensland,,57722,57722
Buderim,-26.6847,153.0532,Australia,AU,Queensland,,54483,54483
Wagga Wagga,-35.1189,147.3689,Australia,AU,New South Wales,,49686,49686
Pakenham,-38.0712,145.4878,Australia,AU,Victoria,,46421,46421
Port Macquarie,-31.4333,152.9000,Australia,AU,New South Wales,,44830,44830
Caloundra,-26.8047,153.1338,Australia,AU,Queensland,,41293,41293
Frankston,-38.1333,145.1167,Australia,AU,Victoria,,36097,36097
Sunbury,-37.5811,144.7139,Australia,AU,Victoria,,36084,36084
Gladstone,-23.8427,151.2555,Australia,AU,Queensland,,34703,34703
Bathurst,-33.4200,149.5778,Australia,AU,New South Wales,,34303,34303
Palmerston,-12.4806,130.9831,Australia,AU,Northern Territory,,33695,33695
Southport,-27.9678,153.4136,Australia,AU,Queensland,,31908,31908
Dandenong,-37.9810,145.2150,Australia,AU,Victoria,,29906,29906
Warrnambool,-38.3833,142.4833,Australia,AU,Victoria,,29661,29661
Quakers Hill,-33.7361,150.8778,Australia,AU,New South Wales,,27080,27080
Mount Gambier,-37.8294,140.7828,Australia,AU,South Australia,,25591,25591
Traralgon,-38.1958,146.5403,Australia,AU,Victoria,,24933,24933
Whyalla,-33.0333,137.5667,Australia,AU,South Australia,,21501,21501
Armidale,-30.5000,151.6500,Australia,AU,New South Wales,,21312,21312
Burnie,-41.0636,145.8753,Australia,AU,Tasmania,,19918,19918
Griffith,-34.2900,146.0400,Australia,AU,New South Wales,,18196,18196
Mount Eliza,-38.1890,145.0920,Australia,AU,Victoria,,17888,17888
Maroochydore,-26.6553,153.0932,Australia,AU,Queensland,,16800,16800
Taree,-31.9000,152.4500,Australia,AU,New South Wales,,16197,16197
Banora Point,-28.2167,153.5333,Australia,AU,New South Wales,,16167,16167
Lara,-38.0167,144.4167,Australia,AU,Victoria,,15772,15772
Cessnock,-32.8342,151.3555,Australia,AU,New South Wales,,15177,15177
Horsham,-36.7167,142.2000,Australia,AU,Victoria,,15134,15134
Murray Bridge,-35.1170,139.2670,Australia,AU,South Australia,,15043,15043
Wallan,-37.4167,144.9833,Australia,AU,Victoria,,15004,15004
Australind,-33.2800,115.7260,Australia,AU,Western Australia,,14539,14539
Ormeau,-27.7966,153.2600,Australia,AU,Queensland,,14460,14460
Barwon Heads,-38.2500,144.5167,Australia,AU,Victoria,,14165,14165
Mount Barker,-35.0667,138.8500,Australia,AU,South Australia,,13842,13842
Morwell,-38.2333,146.4000,Australia,AU,Victoria,,13771,13771
Forster,-32.1806,152.5117,Australia,AU,New South Wales,,13740,13740
Penrith,-33.7511,150.6942,Australia,AU,New South Wales,,13295,13295
Goonellabah,-28.8167,153.3167,Australia,AU,New South Wales,,12900,12900
Leopold,-38.1892,144.4644,Australia,AU,Victoria,,12814,12814
Campbelltown,-34.0667,150.8167,Australia,AU,New South Wales,,12566,12566
Rutherford,-32.7153,151.5250,Australia,AU,New South Wales,,11884,11884
Nambour,-26.6269,152.9591,Australia,AU,Queensland,,11187,11187
